Issue,Subject,Company,Response,Product Area,Status,Request Type,Justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"HackerRank tests remain active indefinitely unless a start and end date are configured. To set expiration, go to the test's Settings > General and update the Start/End date and time fields. Clearing these fields keeps the test active indefinitely.",hackerrank,replied,product_issue,Test expiration behavior is documented in the screen settings help articles.
site is down & none of the pages are accessible,,None,This case has been escalated to a human support agent.,general,escalated,bug,"Possible platform-wide outage requires engineering review, not a support doc answer."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,"Create a new test when the role or skills required are significantly different. Create a variant when the test is similar but has some differences, such as different programming languages or frameworks. Variants are useful for reducing test duplication and making it easier to maintain multiple versions of a test.",hackerrank,replied,product_issue,Best practice for creating new tests versus variants is based on the similarity of the role or skills required.
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,"To reinvite a candidate and add extra time, find their profile in 'Candidates', add the required time (53 minutes in this case) and then click 'reinvite'. The email sent to the candidate will still display the original duration (105 minutes), but the additional time will be reflected in the assessment settings.",hackerrank,replied,product_issue,The process for reinviting a candidate and adding extra time is outlined in the candidate management documentation.
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,This case has been escalated to a human support agent.,hackerrank,escalated,product_issue,"Account deletion requires human review, especially for Google login accounts without a separate HackerRank password."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,This case requires immediate attention from a human support agent.,claude,escalated,product_issue,Private information in a conversation requires human review for potential deletion or other actions.
What is the name of the actor in Iron Man?,"Urgent, please help",None ,"I am sorry, this is out of scope from my capabilities. I can only help with HackerRank, Claude, and Visa support questions.",general,replied,invalid,Off-topic question unrelated to any supported product. No escalation needed.
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,Unable to process this request. Escalating to human support.,visa,escalated,bug,API call failed after all retry attempts.
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,Unable to process this request. Escalating to human support.,visa,escalated,bug,API call failed after all retry attempts.
Thank you for helping me,,None,Unable to process this request. Escalating to human support.,general,escalated,bug,API call failed after all retry attempts.
